Symbol,Last Price,Change $,Change %,Ranker
PHUN,16.05,3.64,29%,14
TQQQ,61.05,-1.33,-2%,14
NVDA,855.00,2.63,0%,14
NVDA,855.00,2.63,0%,14
AAPL,170.60,-4.5,-3%,14
NKLA,0.70,0.0031,0%,14
GM,40.66,-0.27,-1%,14
AMAT,206.11,-3.38,-2%,14
TLRY,1.70,0,0%,14
HLT,204.20,1.79,1%,14
AIR,66.48,0,0%,14
F,12.66,-0.085,-1%,14
HEXO,-,-,-,14
XBI,100.06,-0.67,-1%,14
IBB,138.30,-0.21,0%,14
BIB,57.80,-0.86,-1%,14
SMH,222.50,-1.59,-1%,14
VIR,11.22,0.03,0%,14
APHA,-,-,-,14
OGI,2.08,0.0589,3%,14
OGI,2.08,0.0589,3%,14
CRON,1.95,0.02,1%,14
VLO,144.10,-0.6,0%,14
APA,30.02,-0.01,0%,14
PXD,233.01,-1.69,-1%,14
DHT,11.13,0.16,1%,14
XEC,-,-,-,14
SPONF,0.00,0,0%,14
ABBV,177.62,0.57,0%,14
CYDY,0.27,0.017,7%,14
NVAX,5.33,-0.16,-3%,14
GDXJ,35.25,0.5,1%,14
SIVR,23.00,0.13,1%,14
PGR,189.20,-0.04,0%,14
ATTBF,0.00,0,0%,14
BMMJ,0.08,0,0%,14
TGIFF,0.01,0,0%,14
MYMMF,-,-,-,14
UAMA,0.00,0,0%,14
TRTC,-,-,-,14
CGRW,0.02,0,0%,14
MICWF,-,-,-,14
CBWTF,0.01,0,0%,14
CANN,0.09,0,0%,14
SPLIF,0.00,0,0%,14
TBPMF,-,-,-,14
ATTBF,0.00,0,0%,14
SARSF,0.02,0,0%,14
CGC,2.97,-0.0504,-2%,14
GGBXF,0.00,0,0%,14
CBIIF,-,-,-,14
CLABF,0.18,0,0%,14
VMW,-,-,-,14
JD,21.34,-0.54,-2%,14
TSM,137.20,-1.06,-1%,14
LSRCY,54.65,-0.65,-1%,14
ADTTF,46.10,0,0%,14
HUSN,-,-,-,14
RCKT,28.71,0,0%,14
BLCM,0.07,0,0%,14
ADBE,562.00,-5.94,-1%,14
SNPS,589.32,-5,-1%,14
TGT,165.72,15.23,10%,14
VRSN,191.29,-0.89,0%,14
TRU,78.86,-0.12,0%,14
EXPD,119.96,0,0%,14
GNRC,113.44,0.22,0%,14
NSSC,44.55,-0.09,0%,14
MHO,126.19,-1.478,-1%,14
ARLO,11.18,-0.22,-2%,14
TCX,17.52,-0.94,-5%,14
FFIC,12.73,0,0%,14
DFFN,-,-,-,14
VGZ,0.39,-0.0263,-6%,14
VGZ,0.39,-0.0263,-6%,14
AP,2.49,0,0%,14
WRN,1.37,-0.05,-4%,14
BRO,83.95,0,0%,14
T,17.00,0.2,1%,14
AME,181.00,-0.1,0%,14
GFF,69.62,-0.47,-1%,14
AKAM,110.04,-0.72,-1%,14
MSFT,412.84,-2.08,-1%,14
CNP,27.99,0.05,0%,14
JNK,94.45,0,0%,14
GS,390.57,-1.68,0%,14
GEO,11.72,-0.03,0%,14
A,143.00,0.14,0%,14
KBWB,50.57,0,0%,14
XLF,40.25,-0.14,0%,14
$OEX,2426.58,0,0%,14
$NDX,18226.48,0.0023,0%,14
XLV,146.10,-0.02,0%,14
BKCC,3.70,0.04,1%,14
ZKIN,0.70,0.0448,7%,14
ARPO,-,-,-,14
VISL,3.61,0.0901,3%,14
ARPO,-,-,-,14
BIOC,-,-,-,14
CHFS,-,-,-,14
TJX,97.01,-0.93,-1%,14
JNK,94.45,0,0%,14
SH,12.27,0.0503,0%,14
SH,12.27,0.0503,0%,14
SDS,26.44,0.23,1%,14
WMT,59.50,0.2,0%,14
TCNNF,10.00,-0.17,-2%,14
CGC,2.97,-0.0504,-2%,14
NBEV,-,-,-,14
WATT,2.00,0.02,1%,14
LEDS,1.68,0.0542,3%,14
WBA,20.60,0.02,0%,14
XLY,181.40,-1.12,-1%,14
FLOOF,0.00,0,0%,14
CWBHF,0.15,0,0%,14
IIPR,96.88,-0.7,-1%,14
GTBIF,12.84,0,0%,14
CHPT,2.02,-0.05,-2%,14
NUGT,29.34,0.87,3%,14
MRO,24.21,-0.05,0%,14
DLA,3.66,0.16,5%,14
UPS,150.01,-0.6,0%,14
SSO,73.82,-0.64,-1%,14
SMH,222.50,-1.59,-1%,14
XLP,74.82,0.301,0%,14
SGMS,-,-,-,14
NEE,54.98,0.01,0%,14
EWT,47.20,-0.08,0%,14
AES,16.14,0.07,0%,14
IHG,106.90,0.72,1%,14
DOYU,0.72,0,0%,14
HUYA,3.79,-0.04,-1%,14
BIG,5.25,0.01,0%,14
FB,-,-,-,14
DELL,121.00,-0.78,-1%,14
IBM,192.03,-1.03,-1%,14
UAL,43.88,-0.26,-1%,14
BBY,77.53,-0.01,0%,14
TTWO,146.41,0.08,0%,14
ATVI,-,-,-,14
LUV,33.65,-0.28,-1%,14
SNY,47.54,0.39,1%,14
GWPH,-,-,-,14
VIR,11.22,0.03,0%,14
PHAS,-,-,-,14
KBH,67.52,-0.34,-1%,14
PGR,189.20,-0.04,0%,14
HLT,204.20,1.79,1%,14
HYG,77.14,-0.02,0%,14
DAL,41.28,-0.29,-1%,14
HEXO,-,-,-,14
OGI,2.08,0.0589,3%,14
CRON,1.95,0.02,1%,14
APHA,-,-,-,14
TLRY,1.70,0,0%,14
